seed=1
rau theta phi
1 0.000043 0.000049
1 0.005595 0.826476
1 0.742287 4.747608
1 2.107389 2.881784
1 1.488002 3.347475
1 1.636378 1.375761
1 0.973896 0.295590
1 0.437271 4.265433
1 1.936632 4.268145
1 1.937556 5.872849
1 2.624754 2.409615
1 1.335639 3.263589
1 1.609639 5.221109
1 2.294188 0.217223
1 0.374048 0.335909
1 0.466658 3.328204
1 1.630232 4.216956
1 1.920159 0.048369
1 0.175705 2.409072
1 1.335461 0.419982
1 0.523018 2.623142
1 1.405010 4.315120
1 1.953625 3.700649
1 1.749702 5.846105
1 2.607779 5.316623
1 2.335515 3.310791
1 1.624680 0.577832
1 0.616218 4.108694
1 1.883716 2.613801
1 1.401995 4.405710
1 1.984913 5.719714
1 2.533329 4.789031
1 2.122802 1.649041
1 1.075725 0.298228
1 0.439250 4.624939
1 2.062540 2.062356
1 1.220122 3.974985
1 1.839288 4.752667
1 2.109264 6.226871
1 2.951967 2.295491
1 1.298107 1.552191
1 1.040346 6.173545
1 2.876623 4.540609
1 2.032329 4.733474
1 2.102163 4.093612
1 1.878674 0.456699
1 0.545962 3.968678
1 1.837206 5.558779
1 2.448720 1.713487
1 1.098896 2.742054
1 1.443274 4.816029
1 2.132926 3.001677
1 1.526245 1.493981
1 1.018726 1.727291
1 1.103822 2.257328
1 1.285471 1.046196
1 0.840641 3.056879
1 1.543828 5.640141
1 2.490319 5.712723
1 2.529446 0.380537
1 0.497305 5.684103
1 2.513766 3.170011
1 1.579842 3.243958
1 1.603386 2.004543
1 1.200454 6.199255
1 2.909922 3.103747
1 1.558749 1.672235
1 1.084097 0.570092
1 0.611942 5.954978
1 2.680414 0.463379
1 0.550043 3.146035
1 1.572211 2.413636
1 1.336955 1.740956
1 1.108688 5.741684
1 2.545677 3.328501
1 1.630326 2.918199
1 1.499628 5.912351
1 2.650801 0.314687
1 0.451412 4.784735
1 2.121197 4.839338
1 2.141720 5.201329
1 2.285819 0.787694
1 0.723838 0.099700
