seed=1
x y
-0.651845 0.452190
0.874648 -0.141494
-0.164476 0.130337
0.108064 -0.926852
-0.410590 0.162135
0.616890 0.618379
0.243822 0.591130
0.757676 -0.203058
-0.452805 0.075468
0.058137 0.990988
-0.796563 0.052981
0.111401 0.641955
-0.205998 -0.765364
-0.816845 -0.155604
-0.301280 0.681955
0.680138 0.324011
0.169656 0.820734
0.996358 0.077508
0.061983 -0.939195
-0.798357 0.301156
0.576574 -0.314663
-0.302377 0.724226
0.326536 0.665958
0.372669 0.238138
0.741085 -0.671410
0.766622 -0.557770
-0.618973 0.477974
0.433188 0.837418
-0.441396 -0.829162
0.657468 0.748105
0.817935 0.489163
0.255544 -0.720688
-0.764975 0.235652
0.306431 0.895554
0.690519 -0.407967
-0.801497 -0.224234
-0.212770 0.891702
0.900698 -0.075262
-0.075736 -0.891855
-0.758033 -0.650692
-0.762986 -0.477042
-0.388349 -0.920251
-0.993252 -0.040156
-0.032660 0.963282
0.950639 0.010625
0.018081 0.065131
0.060713 -0.674380
0.446324 -0.005524
-0.021294 -0.826725
-0.312000 -0.546026
-0.891243 0.001478
0.002751 -0.450818
-0.400684 -0.770943
-0.304020 0.564373
0.923814 0.066409
0.118477 -0.141604
-0.066263 0.821862
0.689445 0.712356
0.569973 0.691502
0.122580 -0.140086
0.423427 0.827388
0.920412 0.323786
0.436518 0.795998
0.715600 0.682846
0.518552 -0.356053
-0.802345 -0.582435
-0.675898 -0.519927
-0.568649 0.050663
0.052187 0.358221
0.254592 0.966750
0.969013 -0.246241
-0.249310 0.968410
0.773503 -0.522484
-0.803629 -0.294740
-0.332584 0.146642
0.148492 -0.127708
-0.115837 -0.768287
-0.541664 -0.818837
-0.419840 -0.451958
-0.979254 0.202635
0.224528 0.947580
-0.655317 0.048347
0.137471 -0.006065
-0.002511 0.752274
0.855215 0.188008
0.134126 0.960139
0.893684 0.285552
0.342255 0.937649
0.359394 -0.357495
-0.619067 -0.522661
-0.800637 0.598453
0.445656 -0.767093
-0.584417 -0.322082
-0.094033 -0.519086
0.200176 0.417771
-0.590447 -0.724421
-0.865259 -0.494746
-0.377679 0.801040
0.859733 0.337812
0.393453 -0.904761
-0.861502 0.446799
0.655381 -0.412663
-0.432682 -0.425442
-0.437630 -0.001009
-0.000735 -0.999981
-0.969290 0.239765
0.244596 0.969490
0.967446 0.252261
0.133863 0.676543
0.723631 0.089215
0.157562 -0.987386
0.347822 -0.065658
-0.245764 -0.964865
-0.982203 0.177965
0.222917 -0.851409
-0.860779 -0.039885
-0.045811 -0.143467
-0.054672 0.700840
-0.423112 -0.339697
-0.856600 -0.515685
-0.647672 0.463202
0.316974 -0.915318
-0.884765 0.358501
0.557570 0.448382
0.368423 0.917992
0.745586 -0.620331
-0.869675 -0.081285
-0.091826 -0.431254
-0.342591 -0.918489
0.927193 -0.169668
-0.200659 -0.977269
0.731139 -0.146538
-0.233527 -0.960313
-0.750861 -0.235727
-0.445333 -0.816656
-0.466973 -0.690014
-0.559065 0.433831
0.927988 -0.146473
-0.169732 -0.571472
-0.571119 -0.181041
-0.148911 0.964471
0.696360 0.244629
0.463424 -0.870189
-0.842135 0.531133
0.322961 0.735365
0.466623 -0.285133
-0.478687 0.691303
0.995677 -0.079292
-0.114752 0.023782
0.023337 0.393368
0.299518 0.947422
0.734983 0.592139
0.875852 -0.129250
-0.063960 0.764650
0.611176 0.179735
0.507832 -0.232110
-0.182181 0.975012
0.857035 0.498813
0.629551 0.673610
0.805795 -0.483298
-0.761660 0.135301
0.149220 0.057553
0.035126 -0.965028
-0.926814 -0.200924
-0.334630 0.298607
0.196311 0.963598
0.974322 -0.155143
-0.211075 0.808755
0.453428 0.728775
0.765466 0.447016
0.580082 0.808943
0.822582 0.564952
0.637611 0.746220
0.978325 0.063326
0.099555 -0.146130
-0.071632 -0.849186
-0.431588 0.211843
0.771782 -0.039984
-0.041655 0.631701
0.582778 0.632722
0.518179 -0.855178
0.966511 0.108909
0.120717 -0.991055
-0.988808 -0.136076
-0.035659 0.351447
-0.927668 -0.176021
-0.199352 -0.680555
-0.684850 0.054483
0.037864 0.985385
0.969094 -0.153109
-0.238827 -0.128650
-0.102233 0.965550
0.910608 -0.400418
-0.415833 -0.889634
-0.931470 0.350888
0.489007 0.436025
0.768807 0.639383
0.740143 -0.588710
-0.663748 -0.302013
-0.301577 0.668918
0.626409 0.619777
0.521875 -0.851876
-0.526986 0.601512
0.821521 0.510174
0.524029 0.824488
-0.244929 0.154598
0.854039 0.419156
0.403240 -0.890520
-0.671570 -0.672287
-0.835392 -0.221694
-0.162038 0.659014
0.693992 -0.170800
-0.378602 -0.793270
-0.738072 0.614574
0.627176 -0.704838
-0.614992 0.788416
0.674611 0.691666
0.917992 -0.250757
-0.275000 -0.772595
-0.575077 -0.807881
-0.587287 0.733636
0.319575 -0.363373
-0.953394 -0.267117
-0.390297 0.387055
0.297337 -0.951147
-0.502419 0.510559
0.415632 -0.433245
-0.673132 -0.738467
-0.303933 -0.454486
-0.357400 -0.251737
-0.878372 0.421727
0.474000 0.689647
0.553709 0.832707
0.832398 0.554169
0.602968 0.777175
0.802510 0.537842
0.611718 0.481484
0.200984 -0.668128
-0.741016 0.164082
0.319967 -0.889345
-0.824805 -0.547536
-0.610328 0.673012
0.403525 -0.772507
-0.570126 0.391304
0.892120 0.088757
0.103740 0.214092
0.211003 0.344379
0.325055 -0.629259
-0.577781 0.688551
0.463253 -0.814626
-0.257453 -0.244007
-0.995644 -0.043188
-0.040672 0.998379
0.428431 0.372580
0.966190 0.175296
0.198011 0.832642
0.762461 -0.586984
