n condensation_ratio
100 0.070000
110 0.081818
120 0.075000
130 0.076923
140 0.071429
150 0.066667
160 0.062500
170 0.058824
180 0.055556
190 0.057895
200 0.055000
210 0.052381
220 0.050000
230 0.056522
240 0.054167
250 0.052000
260 0.053846
270 0.051852
280 0.057143
290 0.055172
300 0.053333
310 0.054839
320 0.056250
330 0.057576
340 0.055882
350 0.057143
360 0.058333
370 0.056757
380 0.063158
390 0.061538
400 0.062500
410 0.065854
420 0.064286
430 0.067442
440 0.068182
450 0.071111
460 0.073913
470 0.074468
480 0.075000
490 0.077551
500 0.078000
510 0.080392
520 0.078846
530 0.077358
540 0.077778
550 0.076364
560 0.075000
570 0.080702
580 0.082759
590 0.081356
600 0.080000
610 0.080328
620 0.079032
630 0.077778
640 0.078125
650 0.076923
660 0.078788
670 0.079104
680 0.077941
690 0.078261
700 0.077143
710 0.078873
720 0.079167
730 0.079452
740 0.078378
750 0.077333
760 0.077632
770 0.077922
780 0.078205
790 0.079747
800 0.080000
810 0.081481
820 0.080488
830 0.079518
840 0.079762
850 0.081176
860 0.083721
870 0.083908
880 0.085227
890 0.084270
900 0.083333
910 0.084615
920 0.084783
930 0.084946
940 0.084043
950 0.084211
960 0.084375
970 0.085567
980 0.085714
990 0.084848
1000 0.087000
1010 0.087129
1020 0.087255
1030 0.087379
1040 0.087500
1050 0.087619
1060 0.088679
1070 0.089720
1080 0.090741
1090 0.089908
1100 0.089091
1110 0.088288
1120 0.087500
1130 0.087611
1140 0.086842
1150 0.087826
1160 0.089655
1170 0.089744
1180 0.090678
1190 0.089916
1200 0.090000
1210 0.089256
1220 0.090164
1230 0.091870
1240 0.093548
1250 0.092800
1260 0.092857
1270 0.092913
1280 0.092188
1290 0.092248
1300 0.091538
1310 0.093130
1320 0.092424
1330 0.091729
1340 0.091045
1350 0.092593
1360 0.093382
1370 0.093431
1380 0.093478
1390 0.092806
1400 0.092857
1410 0.094326
1420 0.095070
1430 0.095105
1440 0.095833
1450 0.095862
1460 0.096575
1470 0.096599
1480 0.096622
1490 0.097315
1500 0.098000
1510 0.098675
1520 0.098026
1530 0.098039
1540 0.098052
1550 0.097419
1560 0.096795
1570 0.096815
1580 0.096835
1590 0.096226
1600 0.095625
1610 0.095031
1620 0.094444
1630 0.094479
1640 0.093902
1650 0.094545
1660 0.095181
1670 0.095210
1680 0.094643
1690 0.094083
1700 0.093529
1710 0.093567
1720 0.093605
1730 0.093064
1740 0.093103
1750 0.092571
1760 0.093182
1770 0.093220
1780 0.093258
1790 0.092737
1800 0.092222
1810 0.092818
1820 0.092857
1830 0.092350
1840 0.092391
1850 0.092973
1860 0.092473
1870 0.093583
1880 0.093617
1890 0.093651
1900 0.093158
1910 0.093717
1920 0.093229
1930 0.094301
1940 0.094845
1950 0.094359
1960 0.094388
1970 0.093909
1980 0.093434
1990 0.093467
2000 0.093500
2010 0.094030
2020 0.094554
2030 0.094089
2040 0.094118
2050 0.093659
2060 0.093689
2070 0.094686
2080 0.094231
2090 0.094258
2100 0.094286
2110 0.096209
